rf_n_estimators,rf_max_depth,rf_min_samples_leaf,ml_target_exposure,hmm_n_states,ml_threshold_used,train_avg_exposure,test_avg_exposure,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,test_total_return,test_annualized_return,test_annualized_volatility,test_sharpe_ratio,test_max_drawdown
200,6,20,0.2,2,0.3867000180249397,0.1999999999999408,0.17776839906590983,0.08507274008183541,0.008185079412066143,0.0037255590274720323,2.1970070402078976,-0.0034548524871033026,0.03252849902988508,0.0039855757820483895,0.0032794280448258926,1.2153264921718954,-0.004938869800041202
200,4,40,0.1,3,0.4602514244939174,0.10000000000042503,0.0798814682217924,0.03922501059470607,0.003848815560827612,0.0016052433746886578,2.397652356966807,-0.0019721133597579888,0.01608988555725066,0.0019853891137693314,0.001633843527658645,1.2151647817918425,-0.0024959697971348636
400,4,40,0.15,2,0.42366623737508224,0.14999999999969071,0.1281821235070945,0.06310994663268965,0.006128858862600284,0.0026841983683654025,2.283310702678274,-0.002827069434531332,0.024471958723363718,0.003008799450147981,0.002477142987559665,1.2146248582574042,-0.003708020002558553
400,4,40,0.1,2,0.45756383114808163,0.10000000000019033,0.0800697010673199,0.042823196812848074,0.004195295202761962,0.0019050465596628463,2.2022008761320992,-0.0022145670381548683,0.017005961414753967,0.0020975966184888506,0.0017279712416790954,1.2139071345021835,-0.0025191548084538993
400,8,80,0.15,2,0.4219753922475229,0.15000000000016103,0.12304609907396373,0.06687095502754214,0.006483672581051536,0.0028249502718109176,2.2951457396434862,-0.0024956156095663697,0.025278103454203782,0.0031068388596895424,0.0025612238256677213,1.2130290326654982,-0.0034089445227107476
200,6,40,0.2,2,0.3864856706086629,0.19999999999962742,0.17572552946270834,0.08604005976882778,0.008274778584951514,0.0036142235964100565,2.2895037797801727,-0.003483254304010956,0.033061876529725476,0.004050006725967892,0.0033402846748976037,1.2124735225125818,-0.0047877113897105235
200,4,40,0.15,4,0.42635264026123865,0.15000000000027688,0.12579391422593836,0.05782705701468993,0.005628557762560993,0.0022918829143138797,2.4558661908110664,-0.002743811685310236,0.02429738168911011,0.0029875593394166344,0.002466830573651424,1.211092229570685,-0.0037866634021603792
200,4,20,0.1,3,0.4599994970411626,0.09999999999975208,0.08134663728608732,0.03942455024024638,0.00386805806454138,0.0016127907853450846,2.398363197315603,-0.0020921264115714446,0.015932163635380636,0.001966061268910302,0.0016236807957997746,1.210866861267446,-0.0022946583966567055
200,4,20,0.2,4,0.3890527755184575,0.20000000000019388,0.17657513429945998,0.076889919505722,0.007423396418327233,0.002886881081454579,2.5714243880759,-0.0032601432331190324,0.03135512976075572,0.003843732448572057,0.0031747797983070563,1.2107083617647176,-0.0046803250146511275
400,6,20,0.15,4,0.42741091818635135,0.149999999999781,0.12732070522165964,0.05805841000046619,0.005650514432818943,0.0022841338883472853,2.4738105159445998,-0.0026941780414254054,0.02311679954750856,0.002843839221377209,0.0023490538816153773,1.2106317541858946,-0.0034729590504332017
200,8,80,0.15,2,0.4214785576152008,0.14999999999997005,0.12245684199623721,0.066631352576636,0.006461102080461023,0.002791496632231143,2.314565601068591,-0.0025761668484345205,0.024868295321778033,0.0030570084229644134,0.0025269467579962512,1.209763685479656,-0.0033524197819275476
400,6,20,0.1,4,0.4628040655365748,0.09999999999994626,0.07958464446504519,0.03855917076429427,0.0037845815631074586,0.0016618422140128044,2.2773410924307513,-0.002039591408855121,0.015556073713292262,0.0019199631721273924,0.0015887181645372868,1.2084982818123569,-0.002196983858135057
200,6,80,0.2,2,0.38226718081973565,0.20000000000037738,0.17141441273028427,0.08708661514245852,0.008371744293336425,0.0035814600198817237,2.3375227552066598,-0.00320048418057091,0.032554961543337146,0.00398877308827994,0.003306753789831681,1.2062504019940883,-0.004575907150168883
400,6,80,0.2,2,0.38257748505363465,0.19999999999985382,0.17184964196267877,0.08751544029808267,0.008411451640192302,0.0036153413825964625,2.3265995517555726,-0.0031320250777311133,0.03304525134299574,0.004047998876310466,0.0033570214870017948,1.2058304934848043,-0.004650640571271786
200,4,80,0.1,4,0.4586995999010923,0.0999999999999284,0.07769946842767768,0.0410421868452826,0.004023931394427693,0.0016503121434701285,2.438285030107414,-0.0017993518042931096,0.016737738253695067,0.00206475189973232,0.001713158079528213,1.2052313936498682,-0.0025220652041718114
400,4,80,0.1,3,0.4583881730527446,0.10000000000050648,0.0788801936091839,0.04107329542239646,0.0040269268386150525,0.0016245031893957552,2.47886668669016,-0.0017500057189290263,0.01665342782071111,0.0020544262706190253,0.0017055234412016165,1.2045722861314596,-0.0024935821366833507
200,4,40,0.15,2,0.4236517076280415,0.15000000000003055,0.1284860906604157,0.06283273975643366,0.006102662464157138,0.002706750722659521,2.25460823306291,-0.0028496301824098183,0.02456039539406696,0.0030195579873788514,0.0025084415505038067,1.2037585594818383,-0.0036364276989232737
200,8,40,0.15,2,0.42519417296421114,0.1499999999999829,0.12594708140887295,0.0661716670544068,0.006417787020408294,0.002923415033708762,2.195304787861897,-0.0029140801159622987,0.026187332647620742,0.003217333927091115,0.002673010999453994,1.2036366209298457,-0.0037427527525111656
200,4,40,0.15,3,0.4261772231957456,0.15000000000007163,0.12747924266755695,0.05844193742835557,0.00568690377558867,0.0022708518438518915,2.504304184786605,-0.002605854920772706,0.02364968984747029,0.002908729475349814,0.002418092860340875,1.2029023049759033,-0.003697683452420276
400,4,40,0.2,2,0.38589879886566447,0.19999999999958087,0.1765701113905528,0.0835840483670307,0.008046892885589019,0.00347846863413364,2.313343523246461,-0.003429585525540942,0.03187542764067608,0.003906646349002729,0.0032482601013983786,1.2026888940700637,-0.0048773006324691025
400,8,80,0.2,2,0.3825476620206155,0.19999999999990623,0.17127329136674158,0.08771623194276201,0.008430039229898156,0.0036376724669232763,2.31742668053571,-0.003142532551791826,0.032929520783745,0.0040340211325113895,0.003354712145952189,1.2024939717641223,-0.004642380877869828
400,4,80,0.2,2,0.38218152914440906,0.19999999999989446,0.17352031625734177,0.08718615784084283,0.008380962771279865,0.0036084990966122176,2.322561970196473,-0.003151189924899457,0.03270497232157399,0.004006896631470358,0.003332622000542017,1.2023255655212854,-0.0047812516256784746
200,6,20,0.15,4,0.42733040576295933,0.14999999999943658,0.1261737621159808,0.05814708892912068,0.005658929404956936,0.002300626769792284,2.4597337904869563,-0.002819762391134697,0.02313505640388258,0.00284606285529998,0.002368023057685949,1.201872948855986,-0.0035524074779395044
400,4,20,0.2,4,0.38902038982457277,0.19999999999951293,0.17781511157352287,0.07697057052259315,0.0074309290567320385,0.002875594063850461,2.584137013686111,-0.003298306314310527,0.031042324223098605,0.0038058949354211613,0.0031666640994732374,1.2018625328951869,-0.00464719556347022
